,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
888,107434909,apache/sling-org-apache-sling-pipes,Java,230,12,SQ,65,1834 days 09:20:53,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0,sling
889,107434927,apache/sling-org-apache-sling-query,Java,59,11,SQ,10,2222 days 08:33:39,0,NaT,NaT,0,1,0,NaT,NaT,0,NaT,NaT,1,sling
890,107434967,apache/sling-org-apache-sling-superimposing,Java,27,7,SQ,4,2156 days 05:00:00,1,102 days 19:19:15,102 days 19:19:15,1,1,0,NaT,NaT,0,NaT,NaT,1,sling
891,107434981,apache/sling-org-apache-sling-tenant,Java,67,8,SQ,7,2844 days 22:54:04,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
892,107434999,apache/sling-org-apache-sling-tracer,Java,69,9,SQ,4,1921 days 11:50:51,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
893,107435011,apache/sling-org-apache-sling-urlrewriter,Java,30,6,SQ,3,2275 days 00:34:55,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0,sling
894,107435033,apache/sling-org-apache-sling-jcr-js-nodetypes,Java,17,5,SQ,4,1641 days 02:50:08,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
895,107435054,apache/sling-org-apache-sling-jcr-resourcesecurity,Java,38,6,NonSQ,13,2443 days 16:28:46,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
896,107435097,apache/sling-org-apache-sling-launchpad-contrib-testing,Java,131,11,NonSQ,4,4201 days 05:51:49,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
897,107435213,apache/sling-org-apache-sling-scripting-freemarker,Java,151,8,NonSQ,35,4240 days 23:47:47,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
898,107435226,apache/sling-org-apache-sling-scripting-groovy,Java,86,7,NonSQ,31,2194 days 04:29:52,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
899,107435257,apache/sling-org-apache-sling-scripting-thymeleaf,Java,137,8,SQ,11,1691 days 18:24:43,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,2,sling
900,107435271,apache/sling-org-apache-sling-scripting-console,,37,8,NonSQ,5,3034 days 07:34:35,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
901,107435296,apache/sling-org-apache-sling-scripting-xproc,Java,60,8,SQ,3,4175 days 01:29:53,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
902,107435309,apache/sling-org-apache-sling-installer-console,Java,54,9,SQ,5,3014 days 18:58:36,1,0 days 00:58:00,0 days 00:58:00,0,1,0,NaT,NaT,0,NaT,NaT,0,sling
903,107435327,apache/sling-org-apache-sling-installer-core,Java,378,16,SQ,10,3626 days 05:11:40,1,0 days 02:22:46,0 days 02:22:46,0,1,0,NaT,NaT,0,NaT,NaT,0,sling
904,107435339,apache/sling-org-apache-sling-installer-factory-configuration,Java,138,12,SQ,19,3464 days 11:29:54,0,NaT,NaT,0,0,1,15 days 00:47:31,15 days 00:47:31,0,NaT,NaT,1,sling
905,107435352,apache/sling-org-apache-sling-installer-factory-deploymentpackage,Java,45,8,SQ,5,3506 days 13:15:21,0,NaT,NaT,0,0,1,15 days 00:48:27,15 days 00:48:27,0,NaT,NaT,1,sling
906,107435369,apache/sling-org-apache-sling-installer-factory-model,Java,20,6,SQ,5,1382 days 15:08:46,0,NaT,NaT,0,0,1,15 days 00:51:56,15 days 00:51:56,0,NaT,NaT,1,sling
907,107435379,apache/sling-org-apache-sling-installer-factory-packages,Java,50,7,SQ,5,1417 days 12:37:53,0,NaT,NaT,0,0,1,15 days 00:50:47,15 days 00:50:47,0,NaT,NaT,1,sling
908,107435399,apache/sling-org-apache-sling-installer-factory-subsystems-base,Java,17,6,SQ,6,1754 days 04:08:52,0,NaT,NaT,0,0,1,15 days 00:46:33,15 days 00:46:33,0,NaT,NaT,1,sling
909,107435454,apache/sling-org-apache-sling-installer-it,Java,162,14,SQ,5,3626 days 05:10:08,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
910,107435461,apache/sling-org-apache-sling-installer-provider-file,Java,92,9,SQ,12,3626 days 05:07:08,1,34 days 14:26:19,34 days 14:26:19,1,0,0,NaT,NaT,0,NaT,NaT,0,sling
911,107435477,apache/sling-org-apache-sling-installer-provider-jcr,Java,172,12,SQ,4,3626 days 05:06:43,1,34 days 14:28:42,34 days 14:28:42,1,0,0,NaT,NaT,0,NaT,NaT,1,sling
