full_name,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end
apache/orc,142,26 days 10:52:20.647887324,0 days 20:22:57.500000,206,146,316,20 days 11:16:45.756329114,0 days 13:19:30,251,-6 days +00:24:25.108441790,-1 days +16:56:32.500000,311
apache/commons-text,71,10 days 14:44:32.084507042,0 days 03:42:44,36,74,66,15 days 15:46:11.909090909,0 days 02:44:48.500000,46,5 days 01:01:39.824583867,-1 days +23:02:04.500000,72
apache/ignite,1248,186 days 18:43:29.942307690,9 days 19:00:41,4015,1394,1310,84 days 09:02:43.507633588,7 days 20:43:52.500000,5086,-103 days +14:19:13.565325898,-2 days +01:43:11.500000,1546
apache/commons-el,0,NaT,NaT,14,0,0,NaT,NaT,14,NaT,NaT,0
apache/pdfbox-docs,2,0 days 18:35:24,0 days 18:35:24,0,2,1,0 days 05:09:31,0 days 05:09:31,2,-1 days +10:34:07,-1 days +10:34:07,2
apache/sling-project-archetype,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/ant-easyant-core,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-reqanalyzer,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/beam-wheels,1,28 days 04:33:33,28 days 04:33:33,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/portals-pluto,0,NaT,NaT,2,0,0,NaT,NaT,3,NaT,NaT,1
apache/cordova-docs,67,148 days 13:22:57.343283582,1 days 20:19:32,94,52,32,155 days 08:46:39.281250,3 days 16:55:14,76,6 days 19:23:41.937966418,1 days 20:35:42,31
apache/maven-script-interpreter,28,3 days 18:16:14.714285714,0 days 01:07:16.500000,2,27,18,19 days 22:21:42.944444444,6 days 23:59:29,1,16 days 04:05:28.230158730,6 days 22:52:12.500000,18
apache/airflow-client-python,0,NaT,NaT,0,0,10,69 days 14:57:31.200000,9 days 17:30:53.500000,12,NaT,NaT,10
apache/airavata-docs,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/maven-surefire,56,91 days 07:39:13.464285714,2 days 18:05:27,206,81,48,135 days 23:50:14.770833334,34 days 10:51:24.500000,321,44 days 16:11:01.306547620,31 days 16:45:57.500000,72
apache/couchdb-smoosh,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/openwhisk-debugger,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/uima-uimaj-io-jsoncas,0,NaT,NaT,0,0,2,19 days 13:13:20.500000,19 days 13:13:20.500000,1,NaT,NaT,4
apache/ws-woden,0,NaT,NaT,57,0,0,NaT,NaT,57,NaT,NaT,0
apache/servicecomb-mesher,10,5 days 01:14:52.100000,1 days 07:37:16,12,14,0,NaT,NaT,21,NaT,NaT,0
apache/openwhisk-playground,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/archiva-parent,0,NaT,NaT,0,0,21,15 days 02:09:43.190476190,7 days 23:58:38,2,NaT,NaT,25
apache/commons-collections,43,47 days 19:32:53.790697674,1 days 04:59:21,22,38,56,12 days 09:47:42.892857142,0 days 10:58:20.500000,35,-36 days +14:14:49.102159468,-1 days +05:58:59.500000,55
apache/dubbo-benchmark,0,NaT,NaT,1,0,17,36 days 17:03:36.823529412,16 days 18:33:00,3,NaT,NaT,19
apache/flex-flexunit,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/metamodel-membrane,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/fineract,565,31 days 18:43:30.966371681,1 days 00:45:41,497,643,873,627 days 19:04:47.855670104,9 days 16:39:07,681,596 days 00:21:16.889298423,8 days 15:53:26,644
apache/iceberg,707,17 days 01:32:18.899575671,2 days 21:29:33,183,863,1223,50 days 23:53:14.448896157,4 days 08:12:39,1095,33 days 22:20:55.549320486,1 days 10:43:06,1331
apache/royale-website,0,NaT,NaT,0,2,1,18 days 13:29:29,18 days 13:29:29,2,NaT,NaT,2
apache/fineract-cn-fims-e2e,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/couchdb-snappy,0,NaT,NaT,0,0,1,58 days 02:31:40,58 days 02:31:40,2,NaT,NaT,1
apache/jspwiki,12,75 days 13:34:57.916666667,11 days 10:02:14.500000,153,19,44,54 days 13:57:45.454545455,7 days 04:39:51.500000,160,-21 days +00:22:47.537878788,-5 days +18:37:37,61
apache/openwebbeans-meecrowave,23,0 days 00:27:09.608695652,0 days 00:02:27,3,25,6,3 days 19:36:26.500000,3 days 19:48:10.500000,5,3 days 19:09:16.891304348,3 days 19:45:43.500000,8
apache/juddi-scout,0,NaT,NaT,3,0,14,4 days 11:55:28.357142857,0 days 09:10:20,3,NaT,NaT,19
apache/fineract-cn-rhythm,0,NaT,NaT,0,0,1,190 days 00:55:24,190 days 00:55:24,2,NaT,NaT,0
apache/cordova-medic,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
